Product Name,Description,Size,Price per Unit,Price for 50,Price for 100
Guantes de Nitrilo Negro,"Guantes de nitrilo negro descartables de alta resistencia. | Ideales para uso profesional, gastronómico, industrial y sanitario. | Disponibles en talles S, M y L. | Presentación: por paquete.",Talle L,5500,,
Cinta de Papel,"Cinta de papel adhesiva de alta calidad. | Ideal para embalajes, enmascarar o trabajos de pintura. | Disponible en anchos de 18, 24 y 36 mm. | Por Unidad o en Bulto (10 unidades).",18 mm,1900,,
Cinta de Papel,"Cinta de papel adhesiva de alta calidad. | Ideal para embalajes, enmascarar o trabajos de pintura. | Disponible en anchos de 18, 24 y 36 mm. | Por Unidad o en Bulto (10 unidades).",24 mm,2500,,
Cinta de Papel,"Cinta de papel adhesiva de alta calidad. | Ideal para embalajes, enmascarar o trabajos de pintura. | Disponible en anchos de 18, 24 y 36 mm. | Por Unidad o en Bulto (10 unidades).",36 mm,3700,,
Papel Parafinado (Hamburguesa),Papel parafinado ideal para hamburguesas. | Presentaciones: x50 y x100.,x50,3300,,
Papel Parafinado (Hamburguesa),Papel parafinado ideal para hamburguesas. | Presentaciones: x50 y x100.,x100,5500,,
Cajas de Pizza,"Cajas de cartón reforzado ideales para delivery o eventos. | Diseño resistente al calor, firme y apilable. | Disponibles en tamaño Chica, Grande y Por Metro.",Chica,,10000,18600
Cajas de Pizza,"Cajas de cartón reforzado ideales para delivery o eventos. | Diseño resistente al calor, firme y apilable. | Disponibles en tamaño Chica, Grande y Por Metro.",Grande,,7500,14500
Cajas de Pizza,"Cajas de cartón reforzado ideales para delivery o eventos. | Diseño resistente al calor, firme y apilable. | Disponibles en tamaño Chica, Grande y Por Metro.",Por Metro,,,36500
Vasos Plásticos,"Vasos plásticos transparentes de alta calidad. | Ideales para bebidas frías, jugos, gaseosas y eventos. | Disponibles en presentaciones de 50 y 100 unidades.",220ml,,2400,3700
Vasos Plásticos,"Vasos plásticos transparentes de alta calidad. | Ideales para bebidas frías, jugos, gaseosas y eventos. | Disponibles en presentaciones de 50 y 100 unidades.",330ml,,2700,4700
Vasos Plásticos,"Vasos plásticos transparentes de alta calidad. | Ideales para bebidas frías, jugos, gaseosas y eventos. | Disponibles en presentaciones de 50 y 100 unidades.",500ml,,3500,6500
Vasos Plásticos,"Vasos plásticos transparentes de alta calidad. | Ideales para bebidas frías, jugos, gaseosas y eventos. | Disponibles en presentaciones de 50 y 100 unidades.",1000ml,,6500,12000
Bandejas Plásticas,"Bandejas plásticas resistentes, ideales para alimentos fríos o calientes. | Disponibles en varios tamaños y modelos. | Perfectas para rotiserías, eventos y repostería. | Se presentan en unidades o packs de 50 y 100.",N° 101,50,1600,3000
Bandejas Plásticas,"Bandejas plásticas resistentes, ideales para alimentos fríos o calientes. | Disponibles en varios tamaños y modelos. | Perfectas para rotiserías, eventos y repostería. | Se presentan en unidades o packs de 50 y 100.",N° 102,80,2500,3800
Bandejas Plásticas,"Bandejas plásticas resistentes, ideales para alimentos fríos o calientes. | Disponibles en varios tamaños y modelos. | Perfectas para rotiserías, eventos y repostería. | Se presentan en unidades o packs de 50 y 100.",N° 103,90,3200,6200
Bandejas Plásticas,"Bandejas plásticas resistentes, ideales para alimentos fríos o calientes. | Disponibles en varios tamaños y modelos. | Perfectas para rotiserías, eventos y repostería. | Se presentan en unidades o packs de 50 y 100.",N° 105 Ovalada,110,4150,8150
Bandejas Plásticas,"Bandejas plásticas resistentes, ideales para alimentos fríos o calientes. | Disponibles en varios tamaños y modelos. | Perfectas para rotiserías, eventos y repostería. | Se presentan en unidades o packs de 50 y 100.",N° 105 Rectangular,120,4750,9350
Bandejas Plásticas,"Bandejas plásticas resistentes, ideales para alimentos fríos o calientes. | Disponibles en varios tamaños y modelos. | Perfectas para rotiserías, eventos y repostería. | Se presentan en unidades o packs de 50 y 100.",N° 107,150,6500,12000
Bolsas de Polipropileno,"Bolsas transparentes de polipropileno de alta calidad. | Ideales para panadería, cotillón, repostería y embalaje general. | Disponibles en diferentes tamaños. | Se venden por paquete.",6x30,,,
Bolsas de Polipropileno,"Bolsas transparentes de polipropileno de alta calidad. | Ideales para panadería, cotillón, repostería y embalaje general. | Disponibles en diferentes tamaños. | Se venden por paquete.",8x10,,,
Bolsas de Polipropileno,"Bolsas transparentes de polipropileno de alta calidad. | Ideales para panadería, cotillón, repostería y embalaje general. | Disponibles en diferentes tamaños. | Se venden por paquete.",10x20,,,
Bolsas de Polipropileno,"Bolsas transparentes de polipropileno de alta calidad. | Ideales para panadería, cotillón, repostería y embalaje general. | Disponibles en diferentes tamaños. | Se venden por paquete.",12x25,,,
Bolsas de Polipropileno,"Bolsas transparentes de polipropileno de alta calidad. | Ideales para panadería, cotillón, repostería y embalaje general. | Disponibles en diferentes tamaños. | Se venden por paquete.",15x25,,,
Bolsas de Polipropileno,"Bolsas transparentes de polipropileno de alta calidad. | Ideales para panadería, cotillón, repostería y embalaje general. | Disponibles en diferentes tamaños. | Se venden por paquete.",15x35,,,
Bolsas de Polipropileno,"Bolsas transparentes de polipropileno de alta calidad. | Ideales para panadería, cotillón, repostería y embalaje general. | Disponibles en diferentes tamaños. | Se venden por paquete.",20x30,,,
Bolsas de Polipropileno,"Bolsas transparentes de polipropileno de alta calidad. | Ideales para panadería, cotillón, repostería y embalaje general. | Disponibles en diferentes tamaños. | Se venden por paquete.",25x35,,,
Bolsas de Polipropileno,"Bolsas transparentes de polipropileno de alta calidad. | Ideales para panadería, cotillón, repostería y embalaje general. | Disponibles en diferentes tamaños. | Se venden por paquete.",30x40,,,
Bolsas de Polipropileno,"Bolsas transparentes de polipropileno de alta calidad. | Ideales para panadería, cotillón, repostería y embalaje general. | Disponibles en diferentes tamaños. | Se venden por paquete.",35x45,,,
Bolsas de Polipropileno,"Bolsas transparentes de polipropileno de alta calidad. | Ideales para panadería, cotillón, repostería y embalaje general. | Disponibles en diferentes tamaños. | Se venden por paquete.",40x50,,,
